localidad,latitud,longitud
usaquen,4.8194129,-74.0352893
usaquen,4.8136406,-74.0361718
usaquen,4.7973628,-74.0388355
usaquen,4.791656,-74.039753
usaquen,4.7891547,-74.0401567
usaquen,4.7817471,-74.0414621
usaquen,4.7794605,-74.0418152
usaquen,4.7720168,-74.0429946
usaquen,4.7697104,-74.0433901
usaquen,4.7688618,-74.0435356
usaquen,4.7662501,-74.0439834
usaquen,4.7650228,-74.044182
usaquen,4.7614788,-74.0447938
usaquen,4.7567974,-74.0456643
usaquen,4.7556785,-74.0458351
usaquen,4.7537098,-74.0462185
usaquen,4.7528775,-74.0463607
usaquen,4.7521917,-74.0464587
usaquen,4.7515767,-74.0466079
usaquen,4.7510083,-74.046731
usaquen,4.7504916,-74.0467995
usaquen,4.75029,-74.0468201
usaquen,4.7483474,-74.0469259
usaquen,4.7476373,-74.0470541
usaquen,4.7465545,-74.0472199
usaquen,4.744896,-74.0474961
usaquen,4.742683,-74.0478682
usaquen,4.7424138,-74.0479224
usaquen,4.7415649,-74.0480768
usaquen,4.7412406,-74.0481347
usaquen,4.7404219,-74.0482705
usaquen,4.7400805,-74.0483085
usaquen,4.7356786,-74.0490248
usaquen,4.7346687,-74.049225
usaquen,4.733774,-74.0493653
usaquen,4.7331736,-74.0494473
usaquen,4.7327808,-74.0495106
usaquen,4.7323367,-74.0496042
usaquen,4.7315932,-74.0497126
usaquen,4.7300819,-74.0499848
usaquen,4.7270714,-74.0504991
usaquen,4.7263649,-74.0506214
usaquen,4.7253763,-74.0507954
usaquen,4.7238958,-74.0509901
usaquen,4.7232552,-74.0510655
usaquen,4.7219675,-74.051332
usaquen,4.7206656,-74.0515513
usaquen,4.7186191,-74.0518981
usaquen,4.7181369,-74.0519707
usaquen,4.7152123,-74.0524752
usaquen,4.713943,-74.0526911
usaquen,4.7135072,-74.0527533
usaquen,4.7111198,-74.0531148
usaquen,4.7067502,-74.0538736
usaquen,4.7050338,-74.0541829
usaquen,4.6990333,-74.0551504
usaquen,4.6985837,-74.0552261
usaquen,4.6975202,-74.0554053
usaquen,4.6946512,-74.0559176
usaquen,4.6936861,-74.0560591
usaquen,4.6935709,-74.0560805
usaquen,4.6923307,-74.0563146
usaquen,4.6913322,-74.0564823
usaquen,4.6907924,-74.0565543
usaquen,4.6892739,-74.0567844
usaquen,4.6874164,-74.0571102
usaquen,4.6869486,-74.0571685
santafe,4.634609,-74.0643899
santafe,4.6345751,-74.0642164
santafe,4.6346551,-74.0641943
santafe,4.6346856,-74.0643664
santafe,4.6346889,-74.0643853
santafe,4.634609,-74.0643899
san cristobal,4.563933,-74.1063562
san cristobal,4.5626312,-74.1055024
san cristobal,4.5623746,-74.1053148
san cristobal,4.5621639,-74.1051237
san cristobal,4.5616774,-74.104619
san cristobal,4.561153,-74.1042346
san cristobal,4.5606986,-74.103921
san cristobal,4.5602613,-74.1036487
san cristobal,4.5598433,-74.1035146
san cristobal,4.5592611,-74.1033318
san cristobal,4.5588842,-74.1031869
san cristobal,4.5586117,-74.1030443
san cristobal,4.5583875,-74.1029268
san cristobal,4.558074,-74.1028282
san cristobal,4.5577162,-74.1026609
san cristobal,4.5573374,-74.1025448
san cristobal,4.5570619,-74.1023971
san cristobal,4.5568118,-74.1022616
san cristobal,4.5564955,-74.102019
san cristobal,4.5564264,-74.1019838
san cristobal,4.556346,-74.1019674
san cristobal,4.5561592,-74.1019719
san cristobal,4.5560131,-74.1019474
san cristobal,4.55587,-74.1018758
san cristobal,4.5557623,-74.1018535
san cristobal,4.5555763,-74.1018761
san cristobal,4.5551199,-74.1019235
san cristobal,4.554783,-74.1019403
san cristobal,4.5545906,-74.1019821
san cristobal,4.5543201,-74.1020857
san cristobal,4.5538601,-74.1021223
san cristobal,4.5534992,-74.1022219
san cristobal,4.5533294,-74.1023359
san cristobal,4.5531972,-74.1023631
san cristobal,4.5530537,-74.1023814
san cristobal,4.5529102,-74.1024296
san cristobal,4.5526418,-74.1025784
san cristobal,4.5524771,-74.1027161
san cristobal,4.5523649,-74.1027222
san cristobal,4.5521553,-74.1026838
san cristobal,4.5517469,-74.1027324
san cristobal,4.5511481,-74.102784
san cristobal,4.5507423,-74.1029109
san cristobal,4.5502841,-74.1029589
san cristobal,4.5498785,-74.1029125
san cristobal,4.5495166,-74.1028318
san cristobal,4.5492666,-74.102776
san cristobal,4.5489212,-74.1027872
san cristobal,4.54837,-74.1029065
san cristobal,4.5477802,-74.1030199
san cristobal,4.5472242,-74.1030751
san cristobal,4.5470421,-74.1030714
san cristobal,4.5460043,-74.102446
san cristobal,4.5456108,-74.1014534
san cristobal,4.5450375,-74.1006695
san cristobal,4.5444371,-74.100263
san cristobal,4.5435555,-74.0998217
san cristobal,4.542549,-74.0993265
san cristobal,4.5408839,-74.0984097
san cristobal,4.540402,-74.0990679
san cristobal,4.538901,-74.0978296
san cristobal,4.5398708,-74.0969072
san cristobal,4.5377438,-74.095746
san cristobal,4.5354072,-74.0952942
san cristobal,4.534226,-74.0949238
san cristobal,4.5312231,-74.0946744
san cristobal,4.5293904,-74.0945198
san cristobal,4.5278915,-74.0943457
san cristobal,4.5257087,-74.0943819
san cristobal,4.5233581,-74.0943675
san cristobal,4.5217694,-74.0945179
san cristobal,4.5193196,-74.0897376
san cristobal,4.5203786,-74.0850139
san cristobal,4.5348562,-74.0742848
san cristobal,4.5384612,-74.0750081
san cristobal,4.540534,-74.0738328
san cristobal,4.5473833,-74.0732904
san cristobal,4.5499969,-74.0678659
san cristobal,4.5482846,-74.0648825
san cristobal,4.5466624,-74.0656961
san cristobal,4.5460315,-74.0676851
san cristobal,4.5408044,-74.0703069
san cristobal,4.5308907,-74.0684988
san cristobal,4.5255734,-74.0713014
san cristobal,4.5173719,-74.0713918
san cristobal,4.5110515,-74.0604938
san cristobal,4.5109303,-74.0596491
san cristobal,4.5100826,-74.0586838
san cristobal,4.5091137,-74.0573564
san cristobal,4.5086293,-74.055667
san cristobal,4.5088714,-74.054581
san cristobal,4.5097192,-74.0539776
san cristobal,4.5102035,-74.0530122
san cristobal,4.5110512,-74.0518055
san cristobal,4.5115356,-74.0505987
san cristobal,4.5118988,-74.0486679
san cristobal,4.511963,-74.0481245
san cristobal,4.512141,-74.0466165
san cristobal,4.512262,-74.0448064
san cristobal,4.5129886,-74.044203
san cristobal,4.5137152,-74.0433583
san cristobal,4.5145628,-74.0421515
san cristobal,4.5151683,-74.0415481
san cristobal,4.5165004,-74.040824
san cristobal,4.5174692,-74.0405826
san cristobal,4.5189225,-74.0400999
san cristobal,4.5202546,-74.0396171
san cristobal,4.5217078,-74.0394964
san cristobal,4.5230399,-74.0393756
san cristobal,4.5263098,-74.0393754
san cristobal,4.5273997,-74.039134
san cristobal,4.5290951,-74.0387719
san cristobal,4.530185,-74.0384098
san cristobal,4.531396,-74.0378064
san cristobal,4.5324859,-74.0373236
san cristobal,4.533818,-74.0368409
